alpha,CL,CD,CM,XCp,Cpmn,Xtr_top,Xtr_bottom,airfoil,Re,mach
0.0,,,-0.0097,,,0.2323,0.265,naca23012,10000000.0,0.1
1.0,,,-0.0122,,,0.1965,0.4696,naca23012,10000000.0,0.1
2.0,,,-0.0143,,,0.1978,0.62,naca23012,10000000.0,0.1
3.0,,,-0.0151,,,0.1683,0.7146,naca23012,10000000.0,0.1
4.0,,,-0.0154,,,0.15,0.7819,naca23012,10000000.0,0.1
-5.0,,,-0.0878,,,1.0,0.2277,naca4415,100000.0,0.1
-4.0,,,-0.1077,,,1.0,0.2579,naca4415,100000.0,0.1
-3.0,,,-0.1099,,,0.9491,0.3101,naca4415,100000.0,0.1
-2.0,,,-0.1083,,,0.8799,0.3785,naca4415,100000.0,0.1
-1.0,,,-0.1052,,,0.822,0.4991,naca4415,100000.0,0.1
0.0,,,-0.1248,,,0.7714,0.9532,naca4415,100000.0,0.1
1.0,,,-0.1352,,,0.7355,1.0,naca4415,100000.0,0.1
2.0,,,-0.1331,,,0.6996,1.0,naca4415,100000.0,0.1
3.0,,,-0.1139,,,0.6704,1.0,naca4415,100000.0,0.1
4.0,,,-0.127,,,0.6287,1.0,naca4415,100000.0,0.1
-5.0,,,-0.0983,,,0.9414,0.1743,naca4415,166810.0537200059,0.1
-4.0,,,-0.097,,,0.8973,0.2025,naca4415,166810.0537200059,0.1
-3.0,,,-0.0934,,,0.8451,0.2457,naca4415,166810.0537200059,0.1
-2.0,,,-0.0949,,,0.7817,0.3037,naca4415,166810.0537200059,0.1
-1.0,,,-0.1069,,,0.7262,0.4094,naca4415,166810.0537200059,0.1
0.0,,,-0.1065,,,0.6816,0.8199,naca4415,166810.0537200059,0.1
1.0,,,-0.1329,,,0.6468,1.0,naca4415,166810.0537200059,0.1
2.0,,,-0.1333,,,0.6136,1.0,naca4415,166810.0537200059,0.1
3.0,,,-0.1184,,,0.5837,1.0,naca4415,166810.0537200059,0.1
4.0,,,-0.1342,,,0.5436,1.0,naca4415,166810.0537200059,0.1
-5.0,,,-0.1271,,,0.8613,0.1365,naca4415,278255.94022071257,0.1
-4.0,,,-0.1029,,,0.8213,0.1645,naca4415,278255.94022071257,0.1
-3.0,,,-0.1025,,,0.77,0.2019,naca4415,278255.94022071257,0.1
-2.0,,,-0.1005,,,0.7096,0.2533,naca4415,278255.94022071257,0.1
-1.0,,,-0.1001,,,0.6576,0.3476,naca4415,278255.94022071257,0.1
0.0,,,-0.1023,,,0.6156,0.718,naca4415,278255.94022071257,0.1
1.0,,,-0.1045,,,0.5817,0.9463,naca4415,278255.94022071257,0.1
2.0,,,-0.114,,,0.5489,1.0,naca4415,278255.94022071257,0.1
3.0,,,-0.1171,,,0.5206,1.0,naca4415,278255.94022071257,0.1
4.0,,,-0.1104,,,0.4815,1.0,naca4415,278255.94022071257,0.1
-5.0,,,-0.1055,,,0.8019,0.1113,naca4415,464158.8833612782,0.1
-4.0,,,-0.1026,,,0.7645,0.1358,naca4415,464158.8833612782,0.1
-3.0,,,-0.1046,,,0.7138,0.171,naca4415,464158.8833612782,0.1
-2.0,,,-0.1008,,,0.657,0.2181,naca4415,464158.8833612782,0.1
-1.0,,,-0.0956,,,0.6076,0.3032,naca4415,464158.8833612782,0.1
0.0,,,-0.0924,,,0.5679,0.6366,naca4415,464158.8833612782,0.1
1.0,,,-0.1051,,,0.535,0.85,naca4415,464158.8833612782,0.1
2.0,,,-0.1133,,,0.5017,0.9903,naca4415,464158.8833612782,0.1
3.0,,,-0.1044,,,0.4743,1.0,naca4415,464158.8833612782,0.1
4.0,,,-0.1074,,,0.4318,1.0,naca4415,464158.8833612782,0.1
-5.0,,,-0.1082,,,0.7563,0.0943,naca4415,774263.6826811278,0.1
-4.0,,,-0.0984,,,0.721,0.1141,naca4415,774263.6826811278,0.1
-3.0,,,-0.0927,,,0.671,0.1506,naca4415,774263.6826811278,0.1
-2.0,,,-0.0914,,,0.6171,0.1923,naca4415,774263.6826811278,0.1
-1.0,,,-0.0917,,,0.5698,0.272,naca4415,774263.6826811278,0.1
0.0,,,-0.092,,,0.532,0.4643,naca4415,774263.6826811278,0.1
1.0,,,-0.0897,,,0.4993,0.7299,naca4415,774263.6826811278,0.1
2.0,,,-0.0939,,,0.4657,0.9196,naca4415,774263.6826811278,0.1
3.0,,,-0.1118,,,0.4387,1.0,naca4415,774263.6826811278,0.1
4.0,,,-0.1083,,,0.3997,1.0,naca4415,774263.6826811278,0.1
-5.0,,,-0.0989,,,0.7219,0.0796,naca4415,1291549.6650148828,0.1
-4.0,,,-0.0921,,,0.6875,0.1002,naca4415,1291549.6650148828,0.1
-3.0,,,-0.0893,,,0.6395,0.1347,naca4415,1291549.6650148828,0.1
-2.0,,,-0.0893,,,0.5881,0.1741,naca4415,1291549.6650148828,0.1
-1.0,,,-0.0829,,,0.5417,0.2484,naca4415,1291549.6650148828,0.1
0.0,,,-0.0816,,,0.5056,0.3449,naca4415,1291549.6650148828,0.1
1.0,,,-0.1069,,,0.4721,0.6191,naca4415,1291549.6650148828,0.1
2.0,,,-0.0887,,,0.4389,0.8097,naca4415,1291549.6650148828,0.1
3.0,,,-0.1131,,,0.4089,0.9648,naca4415,1291549.6650148828,0.1
4.0,,,-0.1141,,,0.3745,1.0,naca4415,1291549.6650148828,0.1
-5.0,,,-0.1001,,,0.6979,0.0705,naca4415,2154434.6900318824,0.1
-4.0,,,-0.1026,,,0.6662,0.0903,naca4415,2154434.6900318824,0.1
-3.0,,,-0.0924,,,0.6131,0.1229,naca4415,2154434.6900318824,0.1
-2.0,,,-0.0909,,,0.5626,0.161,naca4415,2154434.6900318824,0.1
-1.0,,,-0.0995,,,0.5211,0.2295,naca4415,2154434.6900318824,0.1
0.0,,,-0.0986,,,0.4852,0.2886,naca4415,2154434.6900318824,0.1
1.0,,,-0.0997,,,0.453,0.4358,naca4415,2154434.6900318824,0.1
2.0,,,-0.0954,,,0.4194,0.6808,naca4415,2154434.6900318824,0.1
3.0,,,-0.1045,,,0.3886,0.8686,naca4415,2154434.6900318824,0.1
4.0,,,-0.1087,,,0.3548,0.9834,naca4415,2154434.6900318824,0.1
-5.0,,,-0.0999,,,0.6691,0.064,naca4415,3593813.6638046256,0.1
-4.0,,,-0.0996,,,0.6294,0.0837,naca4415,3593813.6638046256,0.1
-3.0,,,-0.0978,,,0.5797,0.1114,naca4415,3593813.6638046256,0.1
-2.0,,,-0.1027,,,0.5415,0.1511,naca4415,3593813.6638046256,0.1
-1.0,,,-0.102,,,0.5042,0.2106,naca4415,3593813.6638046256,0.1
0.0,,,-0.0968,,,0.468,0.2585,naca4415,3593813.6638046256,0.1
1.0,,,-0.0914,,,0.4354,0.3344,naca4415,3593813.6638046256,0.1
2.0,,,-0.1114,,,0.407,0.544,naca4415,3593813.6638046256,0.1
3.0,,,-0.0962,,,0.3653,0.7193,naca4415,3593813.6638046256,0.1
4.0,,,-0.1124,,,0.3314,0.9003,naca4415,3593813.6638046256,0.1
-5.0,,,-0.0983,,,0.6296,0.0626,naca4415,5994842.503189409,0.1
-4.0,,,-0.0998,,,0.5818,0.0775,naca4415,5994842.503189409,0.1
-3.0,,,-0.0912,,,0.5508,0.1056,naca4415,5994842.503189409,0.1
-2.0,,,-0.1006,,,0.509,0.135,naca4415,5994842.503189409,0.1
-1.0,,,-0.0962,,,0.4685,0.1769,naca4415,5994842.503189409,0.1
0.0,,,-0.0864,,,0.4405,0.2289,naca4415,5994842.503189409,0.1
1.0,,,-0.087,,,0.4091,0.2875,naca4415,5994842.503189409,0.1
2.0,,,-0.1009,,,0.3636,0.3853,naca4415,5994842.503189409,0.1
3.0,,,-0.1046,,,0.3382,0.5857,naca4415,5994842.503189409,0.1
4.0,,,-0.1144,,,0.3122,0.7309,naca4415,5994842.503189409,0.1
-5.0,,,-0.0978,,,0.5694,0.0499,naca4415,10000000.0,0.1
-4.0,,,-0.1009,,,0.5425,0.068,naca4415,10000000.0,0.1
-3.0,,,-0.0906,,,0.5115,0.0942,naca4415,10000000.0,0.1
-2.0,,,-0.0989,,,0.4674,0.1196,naca4415,10000000.0,0.1
-1.0,,,-0.0992,,,0.4313,0.1554,naca4415,10000000.0,0.1
0.0,,,-0.0905,,,0.4167,0.1968,naca4415,10000000.0,0.1
1.0,,,-0.0953,,,0.3764,0.2506,naca4415,10000000.0,0.1
2.0,,,-0.1096,,,0.3281,0.3172,naca4415,10000000.0,0.1
3.0,,,-0.1091,,,0.2948,0.4257,naca4415,10000000.0,0.1
4.0,,,-0.1152,,,0.2609,0.5856,naca4415,10000000.0,0.1
-5.0,,,0.7807,,,1.0,0.0891,sd7037,100000.0,0.1
-4.0,,,0.2144,,,1.0,0.0808,sd7037,100000.0,0.1
-3.0,,,-0.1003,,,1.0,0.0922,sd7037,100000.0,0.1
-2.0,,,-0.076,,,1.0,0.1047,sd7037,100000.0,0.1
-1.0,,,-0.0796,,,1.0,1.0,sd7037,100000.0,0.1
0.0,,,-0.0908,,,0.9429,1.0,sd7037,100000.0,0.1
1.0,,,-0.0938,,,0.851,1.0,sd7037,100000.0,0.1
2.0,,,-0.0851,,,0.7521,1.0,sd7037,100000.0,0.1
3.0,,,-0.0807,,,0.6519,1.0,sd7037,100000.0,0.1
4.0,,,-0.0786,,,0.5432,1.0,sd7037,100000.0,0.1
-5.0,,,0.5368,,,1.0,0.0572,sd7037,166810.0537200059,0.1
-4.0,,,0.3306,,,1.0,0.0533,sd7037,166810.0537200059,0.1
-3.0,,,-0.0955,,,1.0,0.0649,sd7037,166810.0537200059,0.1
-2.0,,,-0.1009,,,0.9967,0.0683,sd7037,166810.0537200059,0.1
-1.0,,,-0.0964,,,0.9177,0.8837,sd7037,166810.0537200059,0.1
0.0,,,-0.0844,,,0.8304,1.0,sd7037,166810.0537200059,0.1
1.0,,,-0.079,,,0.7433,1.0,sd7037,166810.0537200059,0.1
2.0,,,-0.0777,,,0.6503,1.0,sd7037,166810.0537200059,0.1
3.0,,,-0.0771,,,0.5596,1.0,sd7037,166810.0537200059,0.1
4.0,,,-0.0783,,,0.4592,1.0,sd7037,166810.0537200059,0.1
-5.0,,,0.5372,,,1.0,0.0385,sd7037,278255.94022071257,0.1
-4.0,,,0.3973,,,1.0,0.0348,sd7037,278255.94022071257,0.1
-3.0,,,-0.0887,,,0.9719,0.0398,sd7037,278255.94022071257,0.1
-2.0,,,-0.0895,,,0.9069,0.046,sd7037,278255.94022071257,0.1
-1.0,,,-0.0818,,,0.832,0.7457,sd7037,278255.94022071257,0.1
0.0,,,-0.0793,,,0.7484,0.9484,sd7037,278255.94022071257,0.1
1.0,,,-0.0769,,,0.6643,1.0,sd7037,278255.94022071257,0.1
2.0,,,-0.0765,,,0.577,1.0,sd7037,278255.94022071257,0.1
3.0,,,-0.0775,,,0.4936,1.0,sd7037,278255.94022071257,0.1
4.0,,,-0.0778,,,0.3989,1.0,sd7037,278255.94022071257,0.1
-5.0,,,0.543,,,0.973,0.0231,sd7037,464158.8833612782,0.1
-4.0,,,0.4497,,,0.9439,0.0235,sd7037,464158.8833612782,0.1
-3.0,,,-0.0854,,,0.9021,0.0278,sd7037,464158.8833612782,0.1
-2.0,,,-0.0799,,,0.8398,0.0311,sd7037,464158.8833612782,0.1
-1.0,,,-0.0796,,,0.7673,0.5909,sd7037,464158.8833612782,0.1
0.0,,,-0.0774,,,0.6876,0.8624,sd7037,464158.8833612782,0.1
1.0,,,-0.0765,,,0.606,1.0,sd7037,464158.8833612782,0.1
2.0,,,-0.0769,,,0.5235,1.0,sd7037,464158.8833612782,0.1
3.0,,,-0.0789,,,0.4449,1.0,sd7037,464158.8833612782,0.1
4.0,,,-0.079,,,0.355,1.0,sd7037,464158.8833612782,0.1
-5.0,,,0.6349,,,0.9209,0.0154,sd7037,774263.6826811278,0.1
-4.0,,,0.2908,,,0.8923,0.0164,sd7037,774263.6826811278,0.1
-3.0,,,-0.0811,,,0.8501,0.021,sd7037,774263.6826811278,0.1
-2.0,,,-0.0792,,,0.7895,0.022,sd7037,774263.6826811278,0.1
-1.0,,,-0.078,,,0.719,0.0274,sd7037,774263.6826811278,0.1
0.0,,,-0.078,,,0.641,0.7908,sd7037,774263.6826811278,0.1
1.0,,,-0.0774,,,0.5618,0.9373,sd7037,774263.6826811278,0.1
2.0,,,-0.0783,,,0.4817,1.0,sd7037,774263.6826811278,0.1
3.0,,,-0.0798,,,0.4067,1.0,sd7037,774263.6826811278,0.1
4.0,,,-0.0809,,,0.3207,1.0,sd7037,774263.6826811278,0.1
-5.0,,,0.5442,,,0.8815,0.0124,sd7037,1291549.6650148828,0.1
-4.0,,,-0.0801,,,0.8521,0.0114,sd7037,1291549.6650148828,0.1
-3.0,,,-0.0791,,,0.809,0.0146,sd7037,1291549.6650148828,0.1
-2.0,,,-0.0788,,,0.7491,0.0161,sd7037,1291549.6650148828,0.1
-1.0,,,-0.0793,,,0.6777,0.0202,sd7037,1291549.6650148828,0.1
0.0,,,-0.0777,,,0.6014,0.6806,sd7037,1291549.6650148828,0.1
1.0,,,-0.0763,,,0.5251,0.8661,sd7037,1291549.6650148828,0.1
2.0,,,-0.0785,,,0.4491,1.0,sd7037,1291549.6650148828,0.1
3.0,,,-0.083,,,0.3748,1.0,sd7037,1291549.6650148828,0.1
4.0,,,-0.0815,,,0.2912,1.0,sd7037,1291549.6650148828,0.1
-5.0,,,-0.0794,,,0.8508,0.0084,sd7037,2154434.6900318824,0.1
-4.0,,,-0.0799,,,0.821,0.0085,sd7037,2154434.6900318824,0.1
-3.0,,,-0.0798,,,0.7737,0.0114,sd7037,2154434.6900318824,0.1
-2.0,,,-0.0802,,,0.7076,0.0123,sd7037,2154434.6900318824,0.1
-1.0,,,-0.0803,,,0.6303,0.0159,sd7037,2154434.6900318824,0.1
0.0,,,-0.081,,,0.5546,0.4994,sd7037,2154434.6900318824,0.1
1.0,,,-0.0812,,,0.4776,0.7613,sd7037,2154434.6900318824,0.1
2.0,,,-0.0819,,,0.4041,0.9151,sd7037,2154434.6900318824,0.1
3.0,,,-0.0814,,,0.3275,1.0,sd7037,2154434.6900318824,0.1
4.0,,,-0.0839,,,0.2564,1.0,sd7037,2154434.6900318824,0.1
-5.0,,,-0.0785,,,0.8236,0.0064,sd7037,3593813.6638046256,0.1
-4.0,,,-0.0779,,,0.7763,0.0067,sd7037,3593813.6638046256,0.1
-3.0,,,-0.0788,,,0.7128,0.0091,sd7037,3593813.6638046256,0.1
-2.0,,,-0.0787,,,0.6393,0.0099,sd7037,3593813.6638046256,0.1
-1.0,,,-0.0795,,,0.5668,0.0132,sd7037,3593813.6638046256,0.1
0.0,,,-0.0806,,,0.4943,0.3403,sd7037,3593813.6638046256,0.1
1.0,,,-0.0783,,,0.4184,0.6223,sd7037,3593813.6638046256,0.1
2.0,,,-0.0802,,,0.3487,0.8008,sd7037,3593813.6638046256,0.1
3.0,,,-0.0827,,,0.2796,0.96,sd7037,3593813.6638046256,0.1
4.0,,,-0.0819,,,0.2068,1.0,sd7037,3593813.6638046256,0.1
-5.0,,,-0.0784,,,0.7813,0.0057,sd7037,5994842.503189409,0.1
-4.0,,,-0.0781,,,0.7146,0.0058,sd7037,5994842.503189409,0.1
-3.0,,,-0.0788,,,0.6443,0.0082,sd7037,5994842.503189409,0.1
-2.0,,,-0.0779,,,0.565,0.0084,sd7037,5994842.503189409,0.1
-1.0,,,-0.0796,,,0.4983,0.0114,sd7037,5994842.503189409,0.1
0.0,,,-0.079,,,0.4326,0.2257,sd7037,5994842.503189409,0.1
1.0,,,-0.0785,,,0.3635,0.4785,sd7037,5994842.503189409,0.1
2.0,,,-0.0826,,,0.3029,0.6621,sd7037,5994842.503189409,0.1
3.0,,,-0.0814,,,0.2387,0.8227,sd7037,5994842.503189409,0.1
4.0,,,-0.0836,,,0.1691,0.9753,sd7037,5994842.503189409,0.1
-5.0,,,-0.0777,,,0.7029,0.0046,sd7037,10000000.0,0.1
-4.0,,,-0.0777,,,0.6344,0.0047,sd7037,10000000.0,0.1
-3.0,,,-0.0779,,,0.5709,0.0068,sd7037,10000000.0,0.1
-2.0,,,-0.0779,,,0.4987,0.0073,sd7037,10000000.0,0.1
-1.0,,,-0.0788,,,0.4347,0.0099,sd7037,10000000.0,0.1
0.0,,,-0.0805,,,0.3733,0.1529,sd7037,10000000.0,0.1
1.0,,,-0.0801,,,0.3129,0.3542,sd7037,10000000.0,0.1
2.0,,,-0.0789,,,0.2539,0.5246,sd7037,10000000.0,0.1
3.0,,,-0.0792,,,0.2035,0.6853,sd7037,10000000.0,0.1
4.0,,,-0.0793,,,0.1354,0.8219,sd7037,10000000.0,0.1
-5.0,,,0.7673,,,1.0,0.1046,s3021,100000.0,0.1
-4.0,,,0.4794,,,1.0,0.1232,s3021,100000.0,0.1
-3.0,,,0.1189,,,0.9742,0.0998,s3021,100000.0,0.1
-2.0,,,-0.0766,,,0.9373,0.1102,s3021,100000.0,0.1
-1.0,,,-0.0778,,,0.8992,1.0,s3021,100000.0,0.1
0.0,,,-0.0867,,,0.8615,1.0,s3021,100000.0,0.1
1.0,,,-0.0874,,,0.821,1.0,s3021,100000.0,0.1
2.0,,,-0.0774,,,0.7707,1.0,s3021,100000.0,0.1
3.0,,,-0.0795,,,0.7073,1.0,s3021,100000.0,0.1
4.0,,,-0.081,,,0.6377,1.0,s3021,100000.0,0.1
-5.0,,,0.7162,,,0.9584,0.0608,s3021,166810.0537200059,0.1
-4.0,,,0.4756,,,0.9015,0.0684,s3021,166810.0537200059,0.1
-3.0,,,0.2122,,,0.8663,0.0655,s3021,166810.0537200059,0.1
-2.0,,,-0.0664,,,0.8293,0.0737,s3021,166810.0537200059,0.1
-1.0,,,-0.062,,,0.7942,0.0822,s3021,166810.0537200059,0.1
0.0,,,-0.0723,,,0.7594,1.0,s3021,166810.0537200059,0.1
1.0,,,-0.0708,,,0.7184,1.0,s3021,166810.0537200059,0.1
2.0,,,-0.0693,,,0.6699,1.0,s3021,166810.0537200059,0.1
3.0,,,-0.0661,,,0.6113,1.0,s3021,166810.0537200059,0.1
4.0,,,-0.0593,,,0.5454,1.0,s3021,166810.0537200059,0.1
-5.0,,,0.7406,,,0.8736,0.0385,s3021,278255.94022071257,0.1
-4.0,,,0.493,,,0.8217,0.0431,s3021,278255.94022071257,0.1
-3.0,,,0.292,,,0.785,0.0424,s3021,278255.94022071257,0.1
-2.0,,,-0.0574,,,0.7511,0.0483,s3021,278255.94022071257,0.1
-1.0,,,-0.0559,,,0.7173,0.0523,s3021,278255.94022071257,0.1
0.0,,,-0.0611,,,0.6827,1.0,s3021,278255.94022071257,0.1
1.0,,,-0.0613,,,0.6419,1.0,s3021,278255.94022071257,0.1
2.0,,,-0.0611,,,0.598,1.0,s3021,278255.94022071257,0.1
3.0,,,-0.058,,,0.5415,1.0,s3021,278255.94022071257,0.1
4.0,,,-0.0588,,,0.4791,1.0,s3021,278255.94022071257,0.1
-5.0,,,0.7447,,,0.8116,0.0257,s3021,464158.8833612782,0.1
-4.0,,,0.4958,,,0.7604,0.0277,s3021,464158.8833612782,0.1
-3.0,,,0.2194,,,0.7261,0.0302,s3021,464158.8833612782,0.1
-2.0,,,-0.0565,,,0.6937,0.0276,s3021,464158.8833612782,0.1
-1.0,,,-0.055,,,0.6605,0.0362,s3021,464158.8833612782,0.1
0.0,,,-0.0552,,,0.625,0.983,s3021,464158.8833612782,0.1
1.0,,,-0.0593,,,0.5868,1.0,s3021,464158.8833612782,0.1
2.0,,,-0.0593,,,0.545,1.0,s3021,464158.8833612782,0.1
3.0,,,-0.0592,,,0.4907,1.0,s3021,464158.8833612782,0.1
4.0,,,-0.0594,,,0.4302,1.0,s3021,464158.8833612782,0.1
-5.0,,,0.7499,,,0.7652,0.018,s3021,774263.6826811278,0.1
-4.0,,,0.521,,,0.7146,0.0171,s3021,774263.6826811278,0.1
-3.0,,,-0.0566,,,0.6824,0.02,s3021,774263.6826811278,0.1
-2.0,,,-0.0556,,,0.651,0.0195,s3021,774263.6826811278,0.1
-1.0,,,-0.0552,,,0.6175,0.0267,s3021,774263.6826811278,0.1
0.0,,,-0.0549,,,0.5826,0.0281,s3021,774263.6826811278,0.1
1.0,,,-0.0613,,,0.5461,1.0,s3021,774263.6826811278,0.1
2.0,,,-0.0637,,,0.5055,1.0,s3021,774263.6826811278,0.1
3.0,,,-0.0682,,,0.4523,1.0,s3021,774263.6826811278,0.1
4.0,,,-0.0683,,,0.394,1.0,s3021,774263.6826811278,0.1
-5.0,,,0.7537,,,0.729,0.013,s3021,1291549.6650148828,0.1
-4.0,,,-0.0565,,,0.6814,0.0134,s3021,1291549.6650148828,0.1
-3.0,,,0.2591,,,0.6497,0.0154,s3021,1291549.6650148828,0.1
-2.0,,,-0.0557,,,0.6179,0.0143,s3021,1291549.6650148828,0.1
-1.0,,,-0.0561,,,0.5839,0.0197,s3021,1291549.6650148828,0.1
0.0,,,-0.0561,,,0.5513,0.0209,s3021,1291549.6650148828,0.1
1.0,,,-0.0561,,,0.5145,0.9792,s3021,1291549.6650148828,0.1
2.0,,,-0.0688,,,0.4743,1.0,s3021,1291549.6650148828,0.1
3.0,,,-0.0638,,,0.4238,1.0,s3021,1291549.6650148828,0.1
4.0,,,-0.0693,,,0.356,1.0,s3021,1291549.6650148828,0.1
-5.0,,,0.8273,,,0.7015,0.0101,s3021,2154434.6900318824,0.1
-4.0,,,0.4532,,,0.655,0.0113,s3021,2154434.6900318824,0.1
-3.0,,,0.2491,,,0.6246,0.0116,s3021,2154434.6900318824,0.1
-2.0,,,-0.0563,,,0.5927,0.0114,s3021,2154434.6900318824,0.1
-1.0,,,-0.0567,,,0.5586,0.0155,s3021,2154434.6900318824,0.1
0.0,,,-0.0564,,,0.5261,0.0168,s3021,2154434.6900318824,0.1
1.0,,,-0.0555,,,0.4904,0.7885,s3021,2154434.6900318824,0.1
2.0,,,-0.057,,,0.4481,0.9856,s3021,2154434.6900318824,0.1
3.0,,,-0.0685,,,0.3885,1.0,s3021,2154434.6900318824,0.1
4.0,,,-0.0686,,,0.2901,1.0,s3021,2154434.6900318824,0.1
-5.0,,,-0.0562,,,0.6836,0.0087,s3021,3593813.6638046256,0.1
-4.0,,,-0.0564,,,0.6361,0.0088,s3021,3593813.6638046256,0.1
-3.0,,,-0.0566,,,0.6033,0.0089,s3021,3593813.6638046256,0.1
-2.0,,,-0.0559,,,0.5699,0.0089,s3021,3593813.6638046256,0.1
-1.0,,,-0.0555,,,0.5383,0.0131,s3021,3593813.6638046256,0.1
0.0,,,-0.0569,,,0.5065,0.0134,s3021,3593813.6638046256,0.1
1.0,,,-0.0575,,,0.4623,0.5272,s3021,3593813.6638046256,0.1
2.0,,,-0.0559,,,0.4075,0.9556,s3021,3593813.6638046256,0.1
3.0,,,-0.0554,,,0.3449,0.9797,s3021,3593813.6638046256,0.1
4.0,,,-0.0612,,,0.2411,0.9949,s3021,3593813.6638046256,0.1
-5.0,,,-0.0543,,,0.6503,0.0072,s3021,5994842.503189409,0.1
-4.0,,,-0.0561,,,0.6138,0.0074,s3021,5994842.503189409,0.1
-3.0,,,-0.0559,,,0.5826,0.0078,s3021,5994842.503189409,0.1
-2.0,,,-0.0558,,,0.5448,0.0078,s3021,5994842.503189409,0.1
-1.0,,,-0.0564,,,0.5151,0.0112,s3021,5994842.503189409,0.1
0.0,,,-0.0561,,,0.4754,0.0119,s3021,5994842.503189409,0.1
1.0,,,-0.0579,,,0.4149,0.3583,s3021,5994842.503189409,0.1
2.0,,,-0.0579,,,0.3492,0.7428,s3021,5994842.503189409,0.1
3.0,,,-0.0564,,,0.2833,0.9916,s3021,5994842.503189409,0.1
4.0,,,-0.06,,,0.1985,0.9698,s3021,5994842.503189409,0.1
-5.0,,,-0.0568,,,0.6136,0.0062,s3021,10000000.0,0.1
-4.0,,,-0.0556,,,0.5832,0.0063,s3021,10000000.0,0.1
-3.0,,,-0.0557,,,0.5436,0.0064,s3021,10000000.0,0.1
-2.0,,,-0.0558,,,0.512,0.0066,s3021,10000000.0,0.1
-1.0,,,-0.0551,,,0.4636,0.0096,s3021,10000000.0,0.1
0.0,,,-0.057,,,0.4217,0.01,s3021,10000000.0,0.1
1.0,,,-0.058,,,0.3655,0.2042,s3021,10000000.0,0.1
2.0,,,-0.0585,,,0.2919,0.5205,s3021,10000000.0,0.1
3.0,,,-0.0561,,,0.2331,0.7612,s3021,10000000.0,0.1
4.0,,,-0.0613,,,0.1479,0.9548,s3021,10000000.0,0.1
